source,destination,success,hops,reason,path
1020,901,False,49,no reachable relay,1020 -> 299 -> 52 -> 410 -> 939 -> 190 -> 1011 -> 383 -> 903 -> 179 -> 334 -> 402 -> 335 -> 6 -> 388 -> 319 -> 113 -> 348 -> 371 -> 10 -> 329 -> 188 -> 316 -> 417 -> 53 -> 71 -> 353 -> 147 -> 45 -> 140 -> 55 -> 397 -> 505 -> 176 -> 761 -> 908 -> 368 -> 586 -> 942 -> 307 -> 669 -> 103 -> 782 -> 396 -> 663 -> 356 -> 789 -> 713 -> 831 -> 207
973,936,False,50,maximum hops reached,973 -> 401 -> 318 -> 179 -> 939 -> 410 -> 1011 -> 383 -> 908 -> 190 -> 903 -> 402 -> 905 -> 6 -> 1017 -> 348 -> 37 -> 10 -> 316 -> 417 -> 45 -> 188 -> 389 -> 397 -> 329 -> 140 -> 53 -> 176 -> 319 -> 307 -> 761 -> 1085 -> 71 -> 207 -> 147 -> 713 -> 335 -> 669 -> 1044 -> 113 -> 55 -> 586 -> 979 -> 388 -> 353 -> 782 -> 142 -> 663 -> 356 -> 809 -> 371
887,939,False,0,no reachable relay,887
1054,942,False,0,no reachable relay,1054
1004,898,False,50,maximum hops reached,1004 -> 47 -> 307 -> 1066 -> 435 -> 1026 -> 356 -> 999 -> 343 -> 1072 -> 192 -> 371 -> 37 -> 140 -> 344 -> 113 -> 185 -> 176 -> 538 -> 196 -> 397 -> 218 -> 10 -> 268 -> 417 -> 357 -> 613 -> 940 -> 388 -> 500 -> 334 -> 599 -> 314 -> 402 -> 529 -> 831 -> 732 -> 258 -> 190 -> 514 -> 71 -> 788 -> 188 -> 493 -> 410 -> 767 -> 147 -> 834 -> 782 -> 852 -> 501
936,991,False,0,no reachable relay,936
1075,1044,False,0,no reachable relay,1075
866,962,False,0,no reachable relay,866
989,908,False,0,no reachable relay,989
1104,1039,False,0,no reachable relay,1104
1017,1099,False,50,maximum hops reached,1017 -> 140 -> 875 -> 417 -> 1085 -> 10 -> 905 -> 397 -> 1066 -> 113 -> 713 -> 188 -> 192 -> 190 -> 176 -> 410 -> 307 -> 402 -> 356 -> 179 -> 435 -> 71 -> 599 -> 147 -> 577 -> 388 -> 501 -> 371 -> 343 -> 383 -> 37 -> 6 -> 196 -> 782 -> 1022 -> 348 -> 613 -> 319 -> 732 -> 335 -> 642 -> 334 -> 586 -> 344 -> 761 -> 314 -> 634 -> 789 -> 500 -> 669 -> 529
969,1098,True,3,reached destination,969 -> 105 -> 16 -> 1098
893,1063,False,0,no reachable relay,893
1092,867,False,28,no reachable relay,1092 -> 297 -> 888 -> 136 -> 630 -> 85 -> 56 -> 895 -> 151 -> 491 -> 109 -> 448 -> 27 -> 1079 -> 197 -> 781 -> 283 -> 128 -> 354 -> 54 -> 390 -> 717 -> 815 -> 407 -> 879 -> 115 -> 200 -> 110 -> 736
1065,1010,True,4,reached destination,1065 -> 76 -> 67 -> 290 -> 1010
915,1033,False,0,no reachable relay,915
1004,908,True,3,reached destination,1004 -> 47 -> 176 -> 908
1059,1053,False,0,no reachable relay,1059
1029,943,False,0,no reachable relay,1029
1065,877,True,6,reached destination,1065 -> 15 -> 1076 -> 208 -> 164 -> 196 -> 877
969,955,False,50,maximum hops reached,969 -> 47 -> 343 -> 889 -> 192 -> 1026 -> 435 -> 940 -> 344 -> 190 -> 356 -> 357 -> 307 -> 268 -> 176 -> 185 -> 113 -> 514 -> 196 -> 732 -> 218 -> 140 -> 788 -> 37 -> 767 -> 314 -> 529 -> 999 -> 397 -> 493 -> 538 -> 852 -> 613 -> 222 -> 500 -> 870 -> 376 -> 599 -> 373 -> 634 -> 740 -> 834 -> 417 -> 783 -> 10 -> 1049 -> 388 -> 1015 -> 312 -> 886 -> 258
1040,1066,True,2,reached destination,1040 -> 113 -> 1066
1076,982,False,1,no reachable relay,1076 -> 208
954,1074,True,6,reached destination,954 -> 47 -> 1087 -> 371 -> 29 -> 262 -> 1074
868,1039,False,0,no reachable relay,868
994,957,False,50,maximum hops reached,994 -> 307 -> 335 -> 140 -> 218 -> 113 -> 634 -> 176 -> 577 -> 388 -> 435 -> 188 -> 343 -> 71 -> 192 -> 147 -> 344 -> 397 -> 37 -> 417 -> 185 -> 10 -> 196 -> 190 -> 356 -> 410 -> 314 -> 402 -> 174 -> 179 -> 613 -> 1066 -> 383 -> 732 -> 371 -> 501 -> 258 -> 782 -> 268 -> 599 -> 334 -> 500 -> 586 -> 529 -> 761 -> 514 -> 831 -> 642 -> 692 -> 1072 -> 6
1093,908,False,0,no reachable relay,1093
