source,destination,success,hops,reason,path
232,298,False,50,maximum hops reached,232 -> 949 -> 576 -> 190 -> 641 -> 124 -> 1044 -> 229 -> 811 -> 141 -> 682 -> 180 -> 853 -> 385 -> 565 -> 165 -> 462 -> 135 -> 667 -> 997 -> 1150 -> 1109 -> 40 -> 507 -> 305 -> 556 -> 170 -> 1068 -> 363 -> 188 -> 1007 -> 309 -> 204 -> 825 -> 279 -> 469 -> 93 -> 608 -> 55 -> 539 -> 343 -> 333 -> 292 -> 570 -> 266 -> 728 -> 212 -> 944 -> 87 -> 681 -> 36
92,193,True,2,reached destination,92 -> 447 -> 193
110,166,True,3,reached destination,110 -> 1071 -> 1065 -> 166
269,98,False,0,no reachable relay,269
290,280,True,5,reached destination,290 -> 591 -> 145 -> 901 -> 447 -> 280
28,262,True,3,reached destination,28 -> 1009 -> 610 -> 262
179,290,True,5,reached destination,179 -> 1061 -> 432 -> 149 -> 446 -> 290
88,50,True,2,reached destination,88 -> 918 -> 50
282,237,False,0,no reachable relay,282
221,112,True,5,reached destination,221 -> 1092 -> 218 -> 659 -> 748 -> 112
28,72,True,5,reached destination,28 -> 622 -> 62 -> 696 -> 934 -> 72
163,68,False,0,no reachable relay,163
181,206,False,50,maximum hops reached,181 -> 653 -> 893 -> 1044 -> 266 -> 556 -> 141 -> 949 -> 170 -> 667 -> 229 -> 539 -> 40 -> 944 -> 87 -> 1150 -> 212 -> 570 -> 385 -> 381 -> 728 -> 102 -> 555 -> 333 -> 838 -> 363 -> 1018 -> 407 -> 729 -> 165 -> 507 -> 881 -> 309 -> 1128 -> 202 -> 611 -> 56 -> 928 -> 59 -> 864 -> 72 -> 1121 -> 236 -> 448 -> 124 -> 576 -> 190 -> 608 -> 93 -> 682 -> 295
257,296,True,3,reached destination,257 -> 737 -> 456 -> 296
222,73,True,3,reached destination,222 -> 1106 -> 863 -> 73
66,199,True,4,reached destination,66 -> 890 -> 315 -> 504 -> 199
178,217,False,0,no reachable relay,178
17,292,True,4,reached destination,17 -> 850 -> 345 -> 672 -> 292
5,158,False,50,maximum hops reached,5 -> 444 -> 1043 -> 822 -> 210 -> 706 -> 293 -> 1057 -> 120 -> 807 -> 78 -> 583 -> 58 -> 647 -> 365 -> 638 -> 367 -> 851 -> 198 -> 759 -> 182 -> 808 -> 139 -> 908 -> 251 -> 742 -> 900 -> 644 -> 227 -> 463 -> 543 -> 272 -> 1158 -> 27 -> 780 -> 17 -> 1139 -> 70 -> 755 -> 31 -> 551 -> 83 -> 875 -> 183 -> 857 -> 238 -> 1050 -> 275 -> 615 -> 185 -> 479
236,102,True,2,reached destination,236 -> 895 -> 102
16,183,True,4,reached destination,16 -> 790 -> 218 -> 950 -> 183
4,83,True,5,reached destination,4 -> 883 -> 71 -> 720 -> 1147 -> 83
185,239,True,2,reached destination,185 -> 613 -> 239
261,94,True,5,reached destination,261 -> 855 -> 210 -> 882 -> 1077 -> 94
46,43,True,2,reached destination,46 -> 1145 -> 43
45,95,True,4,reached destination,45 -> 523 -> 29 -> 999 -> 95
289,10,True,2,reached destination,289 -> 459 -> 10
262,188,True,6,reached destination,262 -> 693 -> 19 -> 767 -> 410 -> 977 -> 188
292,210,True,5,reached destination,292 -> 734 -> 390 -> 353 -> 780 -> 210
282,16,False,0,no reachable relay,282
18,152,True,7,reached destination,18 -> 982 -> 76 -> 846 -> 88 -> 532 -> 945 -> 152
37,254,True,3,reached destination,37 -> 1069 -> 588 -> 254
141,43,True,3,reached destination,141 -> 681 -> 1099 -> 43
266,98,True,2,reached destination,266 -> 1014 -> 98
81,79,True,4,reached destination,81 -> 1034 -> 137 -> 510 -> 79
79,89,False,50,maximum hops reached,79 -> 518 -> 837 -> 712 -> 106 -> 1125 -> 76 -> 813 -> 208 -> 849 -> 191 -> 625 -> 181 -> 1059 -> 199 -> 915 -> 324 -> 1154 -> 416 -> 819 -> 334 -> 629 -> 306 -> 498 -> 5 -> 541 -> 94 -> 621 -> 1033 -> 70 -> 1149 -> 307 -> 940 -> 17 -> 827 -> 196 -> 489 -> 961 -> 174 -> 526 -> 285 -> 535 -> 1123 -> 251 -> 921 -> 223 -> 710 -> 7 -> 635 -> 182 -> 675
185,147,True,2,reached destination,185 -> 505 -> 147
58,241,False,50,maximum hops reached,58 -> 572 -> 397 -> 371 -> 1093 -> 125 -> 1009 -> 289 -> 558 -> 105 -> 757 -> 86 -> 1098 -> 183 -> 465 -> 287 -> 970 -> 344 -> 730 -> 420 -> 871 -> 219 -> 477 -> 793 -> 649 -> 632 -> 749 -> 936 -> 111 -> 815 -> 701 -> 73 -> 1078 -> 296 -> 950 -> 301 -> 185 -> 1011 -> 28 -> 597 -> 189 -> 456 -> 218 -> 779 -> 290 -> 1021 -> 272 -> 952 -> 108 -> 840 -> 238
95,114,True,4,reached destination,95 -> 934 -> 115 -> 990 -> 114
96,192,True,5,reached destination,96 -> 1110 -> 152 -> 510 -> 884 -> 192
261,156,True,5,reached destination,261 -> 1010 -> 398 -> 104 -> 771 -> 156
141,130,True,5,reached destination,141 -> 600 -> 366 -> 362 -> 1082 -> 130
156,254,True,3,reached destination,156 -> 1090 -> 966 -> 254
31,109,True,6,reached destination,31 -> 822 -> 196 -> 523 -> 29 -> 692 -> 109
15,281,True,5,reached destination,15 -> 624 -> 390 -> 417 -> 554 -> 281
20,73,True,4,reached destination,20 -> 750 -> 414 -> 1156 -> 73
115,271,True,2,reached destination,115 -> 990 -> 271
51,55,True,3,reached destination,51 -> 960 -> 606 -> 55
287,225,True,3,reached destination,287 -> 840 -> 613 -> 225
275,21,True,5,reached destination,275 -> 1143 -> 199 -> 666 -> 1132 -> 21
235,2,False,0,no reachable relay,235
145,36,True,5,reached destination,145 -> 966 -> 255 -> 580 -> 811 -> 36
120,181,True,2,reached destination,120 -> 601 -> 181
