source,destination,success,hops,reason,delay_ms,path
52,62,False,0,no constrained graph path,inf,52
166,110,True,3,reached destination,32.4384970744407,166 -> 800 -> 1071 -> 110
163,112,False,0,no constrained graph path,inf,163
58,285,True,4,reached destination,36.41978161141469,58 -> 463 -> 181 -> 345 -> 285
6,150,True,6,reached destination,63.937154687987885,6 -> 966 -> 193 -> 541 -> 306 -> 390 -> 150
188,185,True,5,reached destination,57.14567414135847,188 -> 595 -> 223 -> 353 -> 1104 -> 185
296,59,True,6,reached destination,54.90309516842942,296 -> 392 -> 81 -> 1101 -> 187 -> 389 -> 59
258,0,True,2,reached destination,21.609445886627036,258 -> 1083 -> 0
101,204,True,3,reached destination,23.79458864784297,101 -> 333 -> 305 -> 204
33,43,True,6,reached destination,54.078554576178554,33 -> 1083 -> 20 -> 351 -> 176 -> 331 -> 43
244,18,False,0,no constrained graph path,inf,244
1,9,True,4,reached destination,41.415176352371155,1 -> 1008 -> 387 -> 408 -> 9
151,199,True,3,reached destination,18.081190851473917,151 -> 373 -> 391 -> 199
61,86,True,4,reached destination,37.501844157371714,61 -> 332 -> 355 -> 312 -> 86
32,24,False,0,no constrained graph path,inf,32
217,203,True,6,reached destination,54.002340993719024,217 -> 700 -> 44 -> 804 -> 62 -> 413 -> 203
11,275,True,8,reached destination,70.32566229422005,11 -> 895 -> 229 -> 305 -> 279 -> 327 -> 390 -> 353 -> 275
290,186,True,4,reached destination,35.610606906218,290 -> 749 -> 301 -> 355 -> 186
111,41,True,3,reached destination,21.889074917344445,111 -> 435 -> 414 -> 41
157,207,False,0,no constrained graph path,inf,157
158,221,False,0,no constrained graph path,inf,158
241,229,False,0,no constrained graph path,inf,241
102,92,True,2,reached destination,20.08464193619826,102 -> 578 -> 92
142,291,False,0,no constrained graph path,inf,142
228,171,True,7,reached destination,55.77658828184724,228 -> 391 -> 181 -> 376 -> 5 -> 439 -> 966 -> 171
27,223,True,2,reached destination,15.52778543738662,27 -> 353 -> 223
123,260,True,5,reached destination,51.11238880972176,123 -> 496 -> 417 -> 415 -> 412 -> 260
114,253,True,4,reached destination,37.725517977044504,114 -> 360 -> 63 -> 704 -> 253
281,3,True,4,reached destination,38.39706986197037,281 -> 565 -> 93 -> 366 -> 3
183,19,True,4,reached destination,36.48759177714577,183 -> 543 -> 367 -> 332 -> 19
35,178,False,0,no constrained graph path,inf,35
134,184,False,0,no constrained graph path,inf,134
140,52,False,0,no constrained graph path,inf,140
52,204,False,0,no constrained graph path,inf,52
246,130,True,3,reached destination,30.79414579607765,246 -> 401 -> 935 -> 130
35,0,True,3,reached destination,24.411417799338366,35 -> 375 -> 401 -> 0
47,243,False,0,no constrained graph path,inf,47
78,242,True,5,reached destination,56.26423327897827,78 -> 615 -> 186 -> 664 -> 396 -> 242
0,127,False,0,no constrained graph path,inf,0
222,203,True,8,reached destination,47.318147981374295,222 -> 361 -> 147 -> 404 -> 70 -> 349 -> 196 -> 434 -> 203
22,90,True,6,reached destination,61.967948896663984,22 -> 966 -> 67 -> 882 -> 293 -> 367 -> 90
11,117,True,2,reached destination,8.442604293207904,11 -> 354 -> 117
127,176,False,0,no constrained graph path,inf,127
