source,destination,greedy_success,greedy_hops,greedy_reason,greedy_path,dijkstra_success,dijkstra_hops,dijkstra_delay_ms,dijkstra_path
1109,1036,False,2,no reachable relay,1109 -> 365 -> 541,False,0,inf,1109
968,1098,False,0,no reachable relay,968,True,2,6.068406795554866,968 -> 149 -> 1098
910,937,False,0,no reachable relay,910,True,2,5.773031253171098,910 -> 344 -> 937
897,1045,False,50,maximum hops reached,897 -> 375 -> 1065 -> 252 -> 768 -> 309 -> 344 -> 886 -> 185 -> 983 -> 268 -> 356 -> 357 -> 37 -> 222 -> 343 -> 47 -> 435 -> 373 -> 192 -> 218 -> 834 -> 196 -> 376 -> 307 -> 312 -> 176 -> 602 -> 529 -> 727 -> 500 -> 527 -> 514 -> 852 -> 788 -> 244 -> 767 -> 314 -> 726 -> 493 -> 783 -> 740 -> 538 -> 819 -> 732 -> 530 -> 613 -> 657 -> 948 -> 113 -> 959,True,7,52.96559100041378,897 -> 76 -> 75 -> 5 -> 191 -> 386 -> 373 -> 1045
969,1102,False,50,maximum hops reached,969 -> 47 -> 435 -> 889 -> 343 -> 1026 -> 192 -> 999 -> 307 -> 312 -> 356 -> 783 -> 37 -> 788 -> 196 -> 732 -> 218 -> 140 -> 344 -> 113 -> 185 -> 176 -> 268 -> 397 -> 357 -> 10 -> 514 -> 314 -> 500 -> 940 -> 417 -> 493 -> 599 -> 258 -> 529 -> 1049 -> 388 -> 767 -> 244 -> 613 -> 222 -> 501 -> 852 -> 538 -> 692 -> 834 -> 71 -> 1087 -> 188 -> 740 -> 634,True,3,17.95191700024101,969 -> 309 -> 344 -> 1102
1071,971,False,0,no reachable relay,1071,False,0,inf,1071
886,1002,False,50,maximum hops reached,886 -> 113 -> 6 -> 307 -> 402 -> 192 -> 190 -> 344 -> 397 -> 875 -> 10 -> 1085 -> 140 -> 905 -> 417 -> 908 -> 410 -> 435 -> 179 -> 356 -> 383 -> 343 -> 348 -> 176 -> 319 -> 501 -> 544 -> 188 -> 599 -> 71 -> 642 -> 147 -> 577 -> 388 -> 669 -> 37 -> 782 -> 634 -> 371 -> 761 -> 613 -> 316 -> 732 -> 335 -> 713 -> 500 -> 586 -> 538 -> 663 -> 529 -> 809,True,2,10.185570323508282,886 -> 613 -> 1002
878,1051,False,0,no reachable relay,878,True,2,4.955771003492281,878 -> 344 -> 1051
1103,1003,False,0,no reachable relay,1103,True,2,6.761216716324087,1103 -> 307 -> 1003
1057,1041,False,0,no reachable relay,1057,True,8,49.85497894772301,1057 -> 113 -> 176 -> 181 -> 195 -> 406 -> 409 -> 199 -> 1041
991,939,False,0,no reachable relay,991,True,2,6.527789209505743,991 -> 190 -> 939
944,1065,False,0,no reachable relay,944,True,7,53.614018446990464,944 -> 397 -> 918 -> 344 -> 47 -> 49 -> 48 -> 1065
1089,917,False,0,no reachable relay,1089,True,2,6.005022329867735,1089 -> 343 -> 917
938,868,False,5,no reachable relay,938 -> 316 -> 317 -> 667 -> 318 -> 355,True,5,24.209223952166433,938 -> 663 -> 1068 -> 546 -> 569 -> 868
