name,lat,lon,alt_km,status
San Clemente - Chile,-35.5333,-71.4833,0.0,operational
San Jose - CA,37.2422,-121.7844,0.0,operational
Sanderson - TX,30.1421,-102.3949,0.0,operational
Sandston - VA,37.4901,-77.2461,0.0,operational
Santa Clara - CA,37.3992,-121.9803,0.0,operational
Santa Elena - Chile,-36.8167,-72.0167,0.0,operational
Santana de Parnaíba - Brazil,-23.4431,-46.9186,0.0,planned
Santiago de los Caballeros - DR,19.4517,-70.697,0.0,operational
Savanna - OK,34.78930555555555,-95.8765,0.0,planned
Savannah - TN,35.2245,-88.2492,0.0,planned
Seattle - WA,47.5832,-122.3251,0.0,operational
Secaucus - NJ,40.7855,-74.0686,0.0,operational
Shakopee - MN,44.7797,-93.4627,0.0,operational
Sheffield - IL,41.3592,-89.7373,0.0,planned
Slope County - ND,46.45,-103.95,0.0,operational
Springbrook Creek - Australia,-24.8333,152.1167,0.0,operational
Springer - OK,34.2853,-97.1317,0.0,operational
St James - MN,44.0515,-94.5346,0.0,operational
St. John's - NL,47.5615,-52.7126,0.0,operational
Staten Island - NY,40.6068,-74.1748,0.0,planned
Sterling - VA,38.985,-77.4239,0.0,operational
Sullivan - ME,44.5314,-68.2022,0.0,operational
Sunnyvale - CA,37.4117,-122.0217,0.0,operational
Sunset - TX,33.4486,-97.7767,0.0,operational
Surrency - GA,31.6829,-82.2697,0.0,operational
Surubim - Brazil,-7.8311,-35.7531,0.0,operational
Sussex - NJ,41.2018,-74.5263,0.0,operational
Suva - Fiji,-18.1416,178.4419,0.0,operational
São Gonçalo do Amarante - Brazil,-3.6075,-38.9722,0.0,planned
Tapachula - Mexico,14.9032,-92.2577,0.0,operational
Te Hana - NZ,-36.2667,174.55,0.0,operational
Tea Gardens - Australia,-32.6667,152.15,0.0,operational
The Dalles - OR,45.5946,-121.1787,0.0,planned
Thomaston - GA,32.9471,-84.2618,0.0,operational
Tionesta - CA,41.1811,-122.8747,0.0,operational
Toa Baja - PR,18.4441,-66.2545,0.0,operational
Toonpan - Australia,-19.2833,146.75,0.0,operational
Torrumbarry - Australia,-36.0333,144.5833,0.0,operational
Tracy City - TN,35.2595,-85.7369,0.0,operational
Tromsø - Norway,69.6496,18.956,0.0,operational
Tucson - AZ,32.1701,-110.9577,0.0,operational
Tukwila - WA,47.5089,-122.2994,0.0,operational
Tulelake - CA,41.644,-121.3293,0.0,operational
Tumon - GU,13.5028,144.8052,0.0,planned
Unalaska - AK,53.8603,-166.5049,0.0,planned
Uruguaiana - Brazil,-29.7547,-57.0883,0.0,operational
Vernon - UT,40.09,-112.43,0.0,operational
Villahermosa - Mexico,17.9893,-92.9472,0.0,operational
Villarejo de Salvanes - Spain,40.1667,-3.2667,0.0,operational
Villenave d’Ornon,44.7738,-0.5595,0.0,operational
Virginia Beach - VA,36.7838,-76.0093,0.0,operational
Wagin - Australia,-33.3167,117.35,0.0,operational
